Density O	Eavg Ion	Flux Ion	Twall	Tnw	Current
6.9843E+14	1.04	7.10E+14	323.15	325.2	10
8.8697E+14	1.04	1.70E+15	323.15	326.8	20
8.9975E+14	1.04	2.70E+15	323.15	327.09	30
9.2804E+14	1.04	3.70E+15	323.15	328.08	40
6.6420E+14	1.04	7.10E+14	278.15	284.44	10
8.4732E+14	1.04	1.70E+15	278.15	286.12	20
8.9210E+14	1.04	2.70E+15	278.15	288.4	30
9.4491E+14	1.04	3.70E+15	278.15	290.4	40


#Input 0.75 Torr

#4.50E+15	0.1	2.00E+15	273.15	292.8136856	20

#3.9000E+15	0.5	2.00E+15	278.15	285	20



#Input 1 Torr
#6.02E+15	0.1	3.00E+15	273.15	298.343568	30

#4.50E+15	0.1	2.00E+15	273.15	292.8136856	20

# 6.83E+15	0.001	3.00E+15	273.15	348.0227752	30

# 6.14E+15	0.001	3.00E+15	273.15	364.4490984	30


#floss
# 4.50E+15	0.5	2.00E+15	273.15	292.8136856	20
# 5.500E+15	0.5	3.00E+15	278.15	298.3	30
